Field of Study,Current Occupation,Age,Gender,Years of Experience,Education Level,Industry Growth Rate,Job Satisfaction,Work-Life Balance,Job Opportunities,Salary,Job Security,Career Change Interest,Skills Gap,Certifications,Freelancing Experience,Geographic Mobility,Professional Networks,Career Change Events,Technology Adoption,Likely to Change Occupation,Education Level (ord),Industry Growth Rate (ord)
Medicine,Doctor,50.0,Female,15.0,PhD,Low,9.0,6.0,79.0,134280.0,7.0,0.0,8.0,0.0,0.0,1.0,9.0,1.0,9.0,0.0,3.0,0.0
Law,Artist,24.0,Male,1.0,Bachelor's,Medium,6.0,7.0,3.0,155679.0,6.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,7.0,0.0,1.0,1.0
Medicine,Economist,50.0,Male,20.0,PhD,High,1.0,6.0,72.0,134128.0,2.0,0.0,8.0,0.0,0.0,0.0,5.0,2.0,2.0,1.0,3.0,2.0
Education,Business Analyst,58.0,Male,22.0,High School,Low,10.0,2.0,70.0,162479.0,2.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0
Biology,Doctor,42.0,Female,29.0,PhD,High,5.0,5.0,20.0,143881.0,7.0,0.0,10.0,1.0,0.0,0.0,3.0,0.0,7.0,0.0,3.0,2.0
Psychology,Software Developer,55.0,Male,27.0,PhD,Low,5.0,6.0,87.0,77156.0,7.0,0.0,3.0,0.0,0.0,0.0,7.0,2.0,8.0,0.0,3.0,0.0
Business,Teacher,43.0,Female,17.0,High School,Medium,5.0,6.0,95.0,71920.0,9.0,0.0,4.0,0.0,0.0,0.0,5.0,1.0,10.0,0.0,0.0,1.0
Biology,Teacher,43.0,Male,38.0,Bachelor's,High,6.0,10.0,42.0,110984.0,7.0,0.0,7.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,1.0,2.0
Arts,Software Developer,51.0,Female,35.0,PhD,Low,9.0,7.0,81.0,83487.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0
Law,Business Analyst,25.0,Female,7.0,Bachelor's,High,8.0,10.0,74.0,82606.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,4.0,0.0,1.0,2.0
Education,Lawyer,28.0,Male,14.0,PhD,Low,3.0,2.0,66.0,102739.0,5.0,1.0,7.0,1.0,0.0,0.0,10.0,1.0,8.0,1.0,3.0,0.0
Law,Biologist,49.0,Female,10.0,High School,High,10.0,6.0,3.0,150885.0,8.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,10.0,0.0,0.0,2.0
Arts,Business Analyst,31.0,Female,2.0,Bachelor's,High,8.0,8.0,83.0,59644.0,8.0,0.0,6.0,1.0,0.0,0.0,10.0,1.0,2.0,0.0,1.0,2.0
Business,Teacher,28.0,Female,38.0,High School,High,9.0,8.0,6.0,107981.0,10.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,2.0
Economics,Economist,58.0,Male,3.0,PhD,Medium,10.0,10.0,79.0,114647.0,6.0,0.0,8.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,3.0,1.0
Medicine,Artist,33.0,Female,25.0,PhD,Medium,10.0,6.0,86.0,168598.0,2.0,0.0,10.0,0.0,1.0,0.0,5.0,2.0,4.0,0.0,3.0,1.0
Business,Software Developer,23.0,Male,25.0,High School,Medium,9.0,4.0,49.0,70094.0,9.0,0.0,7.0,0.0,0.0,0.0,5.0,1.0,7.0,0.0,0.0,1.0
Business,Doctor,41.0,Male,27.0,High School,High,1.0,6.0,14.0,40865.0,1.0,1.0,5.0,1.0,0.0,0.0,8.0,2.0,5.0,1.0,0.0,2.0
Biology,Lawyer,30.0,Female,18.0,Bachelor's,Medium,1.0,3.0,44.0,183594.0,7.0,0.0,5.0,0.0,0.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0
Biology,Software Developer,37.0,Female,12.0,Bachelor's,Low,5.0,10.0,78.0,80727.0,10.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,1.0,0.0
Psychology,Mechanical Engineer,47.0,Male,30.0,Master's,High,7.0,2.0,95.0,128214.0,6.0,1.0,7.0,0.0,0.0,0.0,6.0,2.0,8.0,1.0,2.0,2.0
Law,Business Analyst,54.0,Male,12.0,Master's,High,3.0,2.0,44.0,114967.0,7.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,2.0,2.0
Psychology,Economist,44.0,Female,9.0,Bachelor's,Medium,6.0,5.0,62.0,122652.0,3.0,0.0,7.0,0.0,1.0,1.0,7.0,0.0,8.0,0.0,1.0,1.0
Arts,Doctor,29.0,Female,32.0,Master's,Medium,3.0,5.0,67.0,165920.0,2.0,1.0,10.0,1.0,0.0,1.0,7.0,0.0,9.0,1.0,2.0,1.0
Medicine,Doctor,27.0,Female,27.0,PhD,Low,8.0,1.0,29.0,48894.0,6.0,0.0,3.0,0.0,0.0,1.0,9.0,2.0,9.0,1.0,3.0,0.0
Medicine,Artist,23.0,Male,26.0,PhD,Low,7.0,8.0,50.0,135652.0,9.0,0.0,3.0,0.0,1.0,0.0,4.0,2.0,7.0,0.0,3.0,0.0
Computer Science,Economist,37.0,Female,4.0,Bachelor's,Low,10.0,4.0,36.0,146135.0,6.0,0.0,9.0,1.0,0.0,0.0,10.0,0.0,8.0,0.0,1.0,0.0
Medicine,Artist,34.0,Male,2.0,High School,Low,7.0,1.0,98.0,58660.0,1.0,0.0,8.0,1.0,0.0,1.0,5.0,2.0,9.0,0.0,0.0,0.0
Biology,Psychologist,46.0,Male,6.0,Bachelor's,Medium,10.0,8.0,31.0,75417.0,4.0,1.0,7.0,0.0,0.0,0.0,6.0,1.0,9.0,1.0,1.0,1.0
Business,Artist,36.0,Male,31.0,Master's,High,7.0,6.0,39.0,170009.0,4.0,0.0,9.0,1.0,0.0,1.0,10.0,0.0,1.0,0.0,2.0,2.0
Computer Science,Psychologist,28.0,Male,37.0,High School,Low,5.0,5.0,92.0,190493.0,10.0,0.0,7.0,0.0,0.0,1.0,9.0,2.0,2.0,0.0,0.0,0.0
Education,Mechanical Engineer,32.0,Female,26.0,Master's,High,4.0,8.0,62.0,52985.0,2.0,0.0,8.0,1.0,0.0,0.0,3.0,0.0,4.0,1.0,2.0,2.0
Psychology,Mechanical Engineer,25.0,Male,9.0,Master's,High,2.0,10.0,38.0,145468.0,6.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0,2.0,2.0
Medicine,Doctor,28.0,Male,11.0,PhD,High,8.0,7.0,24.0,134968.0,4.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0
Business,Software Developer,37.0,Male,7.0,Bachelor's,Low,6.0,4.0,2.0,156194.0,6.0,0.0,6.0,1.0,0.0,0.0,9.0,1.0,6.0,0.0,1.0,0.0
Education,Business Analyst,38.0,Female,11.0,High School,Low,5.0,4.0,73.0,156956.0,8.0,0.0,10.0,0.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0
Law,Biologist,22.0,Male,36.0,PhD,High,6.0,10.0,80.0,141778.0,2.0,0.0,9.0,0.0,1.0,1.0,10.0,2.0,9.0,0.0,3.0,2.0
Psychology,Doctor,28.0,Female,20.0,PhD,High,10.0,8.0,63.0,161877.0,8.0,0.0,8.0,0.0,0.0,1.0,3.0,1.0,5.0,0.0,3.0,2.0
Medicine,Psychologist,30.0,Male,39.0,PhD,High,3.0,8.0,67.0,37997.0,5.0,0.0,9.0,0.0,0.0,0.0,6.0,2.0,9.0,1.0,3.0,2.0
Law,Biologist,34.0,Male,23.0,High School,Low,7.0,2.0,98.0,37227.0,6.0,0.0,1.0,1.0,0.0,1.0,9.0,2.0,8.0,1.0,0.0,0.0
Business,Doctor,34.0,Male,13.0,Bachelor's,Medium,5.0,5.0,22.0,72523.0,4.0,0.0,5.0,0.0,1.0,0.0,2.0,1.0,10.0,0.0,1.0,1.0
Law,Teacher,48.0,Male,21.0,High School,Medium,10.0,4.0,80.0,109493.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,1.0
Mechanical Engineering,Teacher,30.0,Male,18.0,High School,High,1.0,4.0,94.0,68481.0,8.0,1.0,3.0,0.0,0.0,0.0,9.0,0.0,10.0,1.0,0.0,2.0
Law,Biologist,38.0,Male,34.0,Bachelor's,Medium,2.0,9.0,17.0,179829.0,5.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,10.0,1.0,1.0,1.0
Psychology,Doctor,59.0,Male,35.0,PhD,Low,10.0,6.0,93.0,124426.0,2.0,1.0,9.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,3.0,0.0
Business,Teacher,49.0,Male,0.0,Master's,High,1.0,2.0,75.0,93412.0,2.0,0.0,3.0,0.0,1.0,0.0,8.0,1.0,4.0,1.0,2.0,2.0
Mechanical Engineering,Business Analyst,44.0,Male,29.0,PhD,High,4.0,1.0,99.0,44262.0,1.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,3.0,2.0
Psychology,Business Analyst,30.0,Female,16.0,PhD,Medium,4.0,4.0,5.0,176728.0,6.0,0.0,4.0,0.0,0.0,0.0,6.0,2.0,3.0,1.0,3.0,1.0
Law,Software Developer,36.0,Female,21.0,Master's,Medium,6.0,5.0,63.0,69648.0,10.0,0.0,7.0,1.0,0.0,0.0,3.0,1.0,6.0,0.0,2.0,1.0
Biology,Business Analyst,23.0,Female,34.0,High School,High,5.0,8.0,19.0,40321.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,0.0,2.0
Economics,Teacher,47.0,Male,33.0,PhD,High,10.0,9.0,57.0,64842.0,7.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,7.0,0.0,3.0,2.0
Economics,Software Developer,33.0,Male,24.0,Bachelor's,Medium,1.0,2.0,40.0,124804.0,7.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0
Economics,Lawyer,48.0,Male,0.0,Master's,Low,6.0,7.0,86.0,172239.0,9.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,2.0,0.0
Arts,Lawyer,38.0,Male,10.0,High School,High,9.0,7.0,12.0,53553.0,5.0,0.0,5.0,0.0,0.0,1.0,10.0,1.0,6.0,0.0,0.0,2.0
Biology,Mechanical Engineer,41.0,Female,1.0,High School,High,4.0,7.0,16.0,189072.0,6.0,0.0,5.0,0.0,1.0,1.0,4.0,0.0,8.0,1.0,0.0,2.0
Biology,Lawyer,59.0,Female,20.0,PhD,Low,3.0,4.0,27.0,187307.0,7.0,0.0,2.0,1.0,0.0,1.0,4.0,2.0,10.0,1.0,3.0,0.0
Economics,Software Developer,25.0,Female,27.0,Master's,Low,8.0,6.0,6.0,190284.0,3.0,1.0,7.0,1.0,0.0,0.0,10.0,1.0,4.0,1.0,2.0,0.0
Biology,Mechanical Engineer,26.0,Male,29.0,PhD,Low,8.0,4.0,28.0,109738.0,5.0,1.0,5.0,0.0,0.0,0.0,10.0,2.0,4.0,1.0,3.0,0.0
Education,Mechanical Engineer,29.0,Female,34.0,Master's,High,7.0,6.0,75.0,97259.0,3.0,1.0,3.0,0.0,0.0,0.0,6.0,2.0,8.0,1.0,2.0,2.0
Education,Psychologist,31.0,Male,26.0,High School,High,10.0,10.0,3.0,72956.0,2.0,1.0,8.0,1.0,0.0,0.0,3.0,1.0,5.0,1.0,0.0,2.0
Computer Science,Biologist,32.0,Male,2.0,High School,Low,5.0,5.0,47.0,137753.0,8.0,0.0,7.0,0.0,1.0,0.0,3.0,2.0,6.0,0.0,0.0,0.0
Education,Biologist,43.0,Male,0.0,Master's,Medium,2.0,1.0,85.0,133106.0,9.0,0.0,10.0,0.0,0.0,1.0,10.0,1.0,8.0,1.0,2.0,1.0
Economics,Psychologist,58.0,Male,30.0,PhD,Low,6.0,5.0,45.0,172029.0,3.0,1.0,8.0,0.0,1.0,0.0,4.0,2.0,7.0,1.0,3.0,0.0
Computer Science,Artist,57.0,Female,20.0,PhD,High,9.0,1.0,90.0,174344.0,5.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,3.0,2.0
Biology,Teacher,24.0,Female,6.0,Master's,Medium,7.0,7.0,15.0,150324.0,5.0,1.0,4.0,0.0,0.0,0.0,9.0,1.0,4.0,1.0,2.0,1.0
Medicine,Biologist,23.0,Female,34.0,High School,Low,9.0,2.0,42.0,75388.0,3.0,0.0,10.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0
Psychology,Economist,29.0,Female,18.0,PhD,Low,4.0,1.0,56.0,86373.0,1.0,0.0,10.0,0.0,0.0,0.0,5.0,1.0,7.0,1.0,3.0,0.0
Mechanical Engineering,Mechanical Engineer,43.0,Male,12.0,High School,High,7.0,9.0,46.0,133704.0,9.0,0.0,10.0,0.0,1.0,0.0,10.0,2.0,10.0,0.0,0.0,2.0
Medicine,Software Developer,54.0,Male,26.0,Bachelor's,Low,6.0,6.0,52.0,198392.0,6.0,1.0,10.0,1.0,0.0,1.0,3.0,1.0,8.0,1.0,1.0,0.0
Business,Business Analyst,57.0,Male,38.0,High School,Medium,1.0,9.0,23.0,197091.0,10.0,0.0,7.0,1.0,0.0,0.0,4.0,2.0,5.0,1.0,0.0,1.0
Biology,Biologist,30.0,Female,4.0,PhD,Low,5.0,7.0,69.0,67853.0,8.0,0.0,5.0,1.0,0.0,1.0,7.0,2.0,6.0,0.0,3.0,0.0
Arts,Business Analyst,41.0,Female,34.0,Bachelor's,High,3.0,8.0,8.0,140575.0,6.0,0.0,9.0,0.0,0.0,0.0,4.0,1.0,5.0,1.0,1.0,2.0
Arts,Biologist,32.0,Female,11.0,High School,Medium,3.0,3.0,70.0,100191.0,7.0,1.0,7.0,1.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,1.0
Arts,Business Analyst,56.0,Male,12.0,Master's,High,4.0,1.0,27.0,75642.0,7.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0
Business,Biologist,46.0,Female,35.0,Bachelor's,Low,5.0,1.0,79.0,103484.0,1.0,0.0,4.0,1.0,0.0,0.0,7.0,1.0,10.0,0.0,1.0,0.0
Computer Science,Business Analyst,48.0,Female,8.0,High School,High,5.0,6.0,72.0,61915.0,4.0,0.0,9.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0
Business,Software Developer,50.0,Male,39.0,Master's,Medium,3.0,4.0,16.0,69553.0,7.0,0.0,10.0,0.0,1.0,0.0,2.0,0.0,5.0,1.0,2.0,1.0
Biology,Doctor,42.0,Female,26.0,Master's,Medium,2.0,8.0,33.0,40447.0,2.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,10.0,1.0,2.0,1.0
Law,Software Developer,57.0,Male,13.0,Master's,Medium,8.0,2.0,14.0,148400.0,4.0,0.0,3.0,1.0,0.0,1.0,4.0,0.0,5.0,0.0,2.0,1.0
Biology,Artist,57.0,Male,9.0,High School,Low,1.0,5.0,2.0,56974.0,7.0,0.0,7.0,1.0,0.0,0.0,8.0,2.0,10.0,1.0,0.0,0.0
Business,Business Analyst,57.0,Female,8.0,Bachelor's,High,1.0,10.0,91.0,106773.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,8.0,1.0,1.0,2.0
Law,Software Developer,58.0,Female,23.0,PhD,Medium,4.0,2.0,93.0,90092.0,9.0,0.0,8.0,0.0,0.0,0.0,3.0,2.0,8.0,1.0,3.0,1.0
Education,Economist,39.0,Male,5.0,PhD,High,3.0,2.0,69.0,149471.0,7.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,7.0,1.0,3.0,2.0
Economics,Doctor,46.0,Female,32.0,Master's,High,1.0,7.0,52.0,49748.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,7.0,1.0,2.0,2.0
Economics,Business Analyst,48.0,Male,24.0,Bachelor's,Low,1.0,2.0,19.0,136097.0,6.0,0.0,7.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0
Medicine,Business Analyst,50.0,Male,5.0,PhD,Low,7.0,8.0,36.0,121938.0,3.0,0.0,3.0,1.0,0.0,0.0,9.0,0.0,3.0,0.0,3.0,0.0
Business,Economist,45.0,Female,38.0,PhD,Medium,6.0,6.0,19.0,148493.0,10.0,0.0,6.0,1.0,0.0,1.0,1.0,2.0,10.0,0.0,3.0,1.0
Arts,Teacher,55.0,Female,22.0,High School,Medium,5.0,1.0,27.0,93883.0,10.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0
Business,Biologist,51.0,Female,18.0,High School,Low,7.0,10.0,86.0,71522.0,8.0,0.0,10.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0
Law,Software Developer,54.0,Male,16.0,Bachelor's,High,7.0,8.0,89.0,54290.0,10.0,0.0,6.0,0.0,0.0,0.0,9.0,1.0,4.0,0.0,1.0,2.0
Economics,Psychologist,51.0,Male,7.0,Master's,Medium,7.0,3.0,61.0,186760.0,3.0,0.0,2.0,0.0,0.0,1.0,7.0,0.0,8.0,0.0,2.0,1.0
Mechanical Engineering,Lawyer,42.0,Female,4.0,Bachelor's,Medium,7.0,10.0,4.0,186611.0,8.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0
Psychology,Biologist,46.0,Female,16.0,High School,Medium,4.0,6.0,96.0,194255.0,9.0,0.0,10.0,1.0,0.0,0.0,10.0,0.0,4.0,1.0,0.0,1.0
Computer Science,Artist,27.0,Male,4.0,Bachelor's,Medium,1.0,9.0,85.0,179318.0,8.0,0.0,6.0,0.0,0.0,0.0,10.0,1.0,9.0,1.0,1.0,1.0
Business,Business Analyst,29.0,Male,17.0,PhD,Low,7.0,9.0,60.0,99668.0,4.0,0.0,7.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,3.0,0.0
Medicine,Biologist,42.0,Male,24.0,High School,High,5.0,10.0,12.0,125736.0,1.0,1.0,5.0,0.0,1.0,0.0,4.0,2.0,5.0,1.0,0.0,2.0
Computer Science,Artist,40.0,Female,10.0,Bachelor's,High,7.0,4.0,55.0,80933.0,3.0,0.0,1.0,0.0,1.0,0.0,8.0,2.0,5.0,0.0,1.0,2.0
Law,Biologist,56.0,Female,37.0,Master's,Low,7.0,9.0,48.0,36470.0,6.0,0.0,10.0,0.0,0.0,1.0,9.0,1.0,5.0,1.0,2.0,0.0
Biology,Psychologist,48.0,Female,18.0,High School,Low,5.0,3.0,91.0,146817.0,9.0,0.0,10.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0
Computer Science,Psychologist,42.0,Female,4.0,Bachelor's,Medium,3.0,9.0,31.0,102207.0,10.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,9.0,1.0,1.0,1.0
Business,Teacher,21.0,Male,29.0,PhD,High,7.0,6.0,13.0,39831.0,9.0,0.0,7.0,0.0,1.0,0.0,8.0,2.0,3.0,1.0,3.0,2.0
Computer Science,Psychologist,40.0,Male,31.0,PhD,High,9.0,4.0,88.0,191394.0,5.0,1.0,6.0,1.0,0.0,0.0,6.0,2.0,7.0,1.0,3.0,2.0
Education,Biologist,52.0,Male,4.0,PhD,Medium,5.0,1.0,4.0,41447.0,5.0,1.0,8.0,0.0,0.0,1.0,3.0,1.0,10.0,1.0,3.0,1.0
Mechanical Engineering,Doctor,49.0,Female,14.0,PhD,Medium,9.0,2.0,2.0,109086.0,7.0,0.0,8.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,3.0,1.0
Computer Science,Psychologist,25.0,Female,36.0,PhD,Medium,9.0,4.0,17.0,196461.0,2.0,0.0,6.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0
Medicine,Lawyer,20.0,Male,39.0,High School,High,4.0,1.0,41.0,129763.0,4.0,0.0,2.0,0.0,0.0,0.0,10.0,1.0,2.0,1.0,0.0,2.0
Mechanical Engineering,Software Developer,32.0,Female,21.0,High School,Low,1.0,6.0,70.0,133027.0,3.0,0.0,6.0,1.0,0.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0
Education,Teacher,29.0,Male,22.0,Master's,High,2.0,10.0,96.0,187448.0,2.0,0.0,7.0,0.0,0.0,1.0,2.0,0.0,5.0,1.0,2.0,2.0
Law,Economist,34.0,Female,23.0,Master's,Low,9.0,5.0,92.0,43583.0,2.0,1.0,7.0,0.0,1.0,0.0,1.0,2.0,10.0,1.0,2.0,0.0
Education,Lawyer,38.0,Female,36.0,Bachelor's,High,4.0,7.0,12.0,86170.0,6.0,1.0,7.0,0.0,0.0,0.0,10.0,0.0,10.0,1.0,1.0,2.0
Psychology,Mechanical Engineer,54.0,Female,27.0,High School,Low,7.0,3.0,32.0,190769.0,10.0,0.0,3.0,1.0,0.0,1.0,8.0,2.0,8.0,0.0,0.0,0.0
Biology,Teacher,56.0,Female,11.0,PhD,Medium,6.0,6.0,37.0,57338.0,9.0,0.0,6.0,0.0,0.0,1.0,4.0,2.0,5.0,0.0,3.0,1.0
Education,Economist,35.0,Male,31.0,Bachelor's,High,7.0,8.0,47.0,128162.0,2.0,0.0,3.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,1.0,2.0
Arts,Biologist,25.0,Female,19.0,Bachelor's,Medium,8.0,1.0,18.0,86779.0,10.0,0.0,3.0,0.0,0.0,0.0,5.0,2.0,8.0,0.0,1.0,1.0
Medicine,Lawyer,51.0,Female,32.0,Bachelor's,High,4.0,2.0,49.0,94008.0,6.0,0.0,2.0,0.0,0.0,1.0,5.0,1.0,3.0,1.0,1.0,2.0
Computer Science,Software Developer,32.0,Female,19.0,High School,Medium,7.0,10.0,24.0,173603.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,1.0
Medicine,Economist,57.0,Female,13.0,Bachelor's,Low,10.0,9.0,73.0,37902.0,2.0,0.0,10.0,1.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,0.0
Law,Doctor,32.0,Male,30.0,Bachelor's,Medium,2.0,9.0,29.0,187717.0,3.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,1.0
Mechanical Engineering,Doctor,36.0,Female,23.0,Master's,Medium,4.0,3.0,30.0,163649.0,6.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,9.0,1.0,2.0,1.0
Education,Lawyer,26.0,Female,33.0,Bachelor's,High,9.0,8.0,43.0,110383.0,5.0,0.0,9.0,0.0,0.0,0.0,7.0,2.0,5.0,0.0,1.0,2.0
Mechanical Engineering,Biologist,26.0,Male,10.0,Bachelor's,Low,7.0,9.0,35.0,110119.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,7.0,1.0,1.0,0.0
Psychology,Biologist,21.0,Male,19.0,PhD,High,9.0,9.0,68.0,189805.0,9.0,0.0,10.0,0.0,0.0,0.0,9.0,1.0,4.0,0.0,3.0,2.0
Biology,Business Analyst,40.0,Female,20.0,Bachelor's,High,7.0,7.0,30.0,156901.0,2.0,0.0,10.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,1.0,2.0
Medicine,Business Analyst,56.0,Male,27.0,PhD,Medium,10.0,6.0,66.0,50674.0,10.0,0.0,9.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,3.0,1.0
Biology,Biologist,36.0,Female,37.0,High School,High,8.0,10.0,31.0,195408.0,6.0,0.0,9.0,1.0,0.0,0.0,7.0,2.0,10.0,0.0,0.0,2.0
Business,Lawyer,39.0,Male,6.0,High School,High,10.0,9.0,23.0,123991.0,2.0,0.0,10.0,0.0,0.0,0.0,2.0,1.0,9.0,0.0,0.0,2.0
Education,Business Analyst,30.0,Male,36.0,Master's,Medium,2.0,4.0,56.0,76721.0,10.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,4.0,1.0,2.0,1.0
Medicine,Artist,23.0,Female,15.0,Bachelor's,Medium,7.0,4.0,20.0,103221.0,2.0,0.0,7.0,0.0,1.0,0.0,1.0,2.0,9.0,0.0,1.0,1.0
Arts,Mechanical Engineer,55.0,Male,16.0,Master's,Low,2.0,4.0,34.0,103728.0,7.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0
Medicine,Biologist,44.0,Male,16.0,Bachelor's,High,5.0,6.0,2.0,198398.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0
Psychology,Psychologist,59.0,Male,21.0,PhD,High,4.0,7.0,89.0,155468.0,1.0,0.0,4.0,0.0,0.0,0.0,8.0,2.0,5.0,1.0,3.0,2.0
Computer Science,Artist,29.0,Male,15.0,PhD,Low,5.0,10.0,41.0,102659.0,6.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,0.0
Business,Lawyer,23.0,Female,35.0,High School,Low,6.0,2.0,21.0,178403.0,5.0,0.0,6.0,0.0,1.0,0.0,2.0,1.0,9.0,0.0,0.0,0.0
Mechanical Engineering,Biologist,25.0,Female,3.0,PhD,Medium,3.0,5.0,82.0,176370.0,8.0,0.0,3.0,0.0,0.0,1.0,5.0,2.0,6.0,1.0,3.0,1.0
Psychology,Artist,37.0,Male,2.0,Master's,Medium,10.0,8.0,53.0,35988.0,5.0,0.0,6.0,1.0,0.0,1.0,9.0,1.0,8.0,1.0,2.0,1.0
Psychology,Doctor,48.0,Male,29.0,Master's,High,8.0,4.0,95.0,157325.0,1.0,1.0,8.0,0.0,1.0,0.0,3.0,2.0,8.0,1.0,2.0,2.0
Medicine,Software Developer,27.0,Male,23.0,Bachelor's,Medium,1.0,7.0,73.0,54269.0,5.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,1.0,1.0
Law,Psychologist,31.0,Male,27.0,Master's,High,1.0,5.0,24.0,34652.0,3.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,5.0,1.0,2.0,2.0
Education,Psychologist,50.0,Female,9.0,Bachelor's,Low,9.0,1.0,45.0,48224.0,7.0,0.0,4.0,1.0,1.0,0.0,3.0,0.0,6.0,1.0,1.0,0.0
Medicine,Biologist,42.0,Female,4.0,Bachelor's,High,6.0,10.0,46.0,114970.0,1.0,0.0,7.0,1.0,0.0,1.0,7.0,0.0,2.0,0.0,1.0,2.0
Arts,Artist,42.0,Female,19.0,Bachelor's,Medium,10.0,8.0,85.0,97655.0,2.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,6.0,0.0,1.0,1.0
Computer Science,Artist,52.0,Male,24.0,Bachelor's,Medium,10.0,6.0,38.0,79067.0,3.0,0.0,2.0,0.0,0.0,0.0,9.0,1.0,6.0,0.0,1.0,1.0
Arts,Biologist,33.0,Female,33.0,Bachelor's,Low,1.0,10.0,78.0,57634.0,1.0,0.0,7.0,0.0,0.0,0.0,9.0,2.0,1.0,1.0,1.0,0.0
Arts,Teacher,33.0,Female,20.0,PhD,Low,9.0,3.0,54.0,106682.0,7.0,0.0,8.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0,3.0,0.0
Medicine,Artist,36.0,Male,0.0,Master's,High,5.0,1.0,94.0,79390.0,1.0,0.0,10.0,0.0,0.0,0.0,7.0,1.0,8.0,0.0,2.0,2.0
Psychology,Lawyer,34.0,Female,5.0,Master's,Medium,3.0,6.0,43.0,111852.0,8.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,9.0,1.0,2.0,1.0
Education,Biologist,56.0,Female,23.0,Bachelor's,Medium,6.0,9.0,81.0,181101.0,4.0,1.0,10.0,0.0,0.0,0.0,2.0,2.0,7.0,1.0,1.0,1.0
